leftXQBH,worker
125,17.2376642965
126,99.1165697048
127,127.127774187
128,107.735401853
129,77.5694893342
130,19.3923723335
131,40.9394527042
132,28.0112044818
133,101.271277742
134,81.8789054083
135,159.448394743
136,71.105365223
137,43.0941607412
138,64.6412411118
139,90.4977375566
140,77.5694893342
141,120.663650075
142,247.791424262
143,185.304891187
144,133.591898298
146,303.813833226
147,178.840767076
148,43.0941607412
149,249.946132299
151,15.0829562594
152,180.995475113
153,101.271277742
154,62.4865330748
155,165.912518854
156,105.580693816
158,150.829562594
159,62.4865330748
160,370.609782374
161,75.4147812971
162,174.531351002
163,234.86317604
164,88.3430295195
165,28.0112044818
166,53.8677009265
167,193.923723335
168,112.044817927
169,346.907993967
170,28.0112044818
171,234.86317604
172,101.271277742
173,49.5582848524
174,64.6412411118
175,40.9394527042
176,12.9282482224
177,105.580693816
178,114.199525964
179,129.282482224
180,116.354234001
181,84.0336134454
182,116.354234001
183,265.029088559
184,60.3318250377
185,47.4035768153
186,178.840767076
187,219.78021978
189,361.990950226
190,40.9394527042
191,51.7129928895
192,34.475328593
193,239.172592114
194,116.354234001
195,56.0224089636
196,133.591898298
197,15.0829562594
198,12.9282482224
199,193.923723335
200,12.9282482224
201,288.730876966
203,239.172592114
204,228.399051928
205,64.6412411118
206,159.448394743
207,28.0112044818
208,96.9618616677
209,32.3206205559
210,282.266752855
211,6.46412411118
212,303.813833226
213,64.6412411118
214,43.0941607412
215,90.4977375566
216,295.195001077
217,19.3923723335
218,30.1659125189
219,40.9394527042
220,411.549235079
221,458.952811894
222,103.425985779
223,560.224089636
224,19.3923723335
225,146.52014652
226,12.9282482224
227,112.044817927
228,140.056022409
229,135.746606335
230,249.946132299
231,174.531351002
232,79.7241973713
233,101.271277742
234,43.0941607412
235,329.67032967
236,140.056022409
237,81.8789054083
238,245.636716225
239,170.221934928
240,299.504417151
241,133.591898298
243,146.52014652
244,346.907993967
245,64.6412411118
246,333.979745744
247,224.089635854
248,148.674854557
249,206.851971558
250,116.354234001
251,163.757810817
252,299.504417151
253,374.919198449
254,159.448394743
255,88.3430295195
257,260.719672484
258,129.282482224
259,392.156862745
260,163.757810817
261,101.271277742
262,30.1659125189
263,163.757810817
264,103.425985779
265,105.580693816
266,137.901314372
267,280.112044818
268,4.30941607412
269,101.271277742
270,116.354234001
271,30.1659125189
273,396.466278819
274,109.89010989
275,230.553759966
276,424.477483301
277,2.15470803706
278,193.923723335
279,140.056022409
280,305.968541263
281,234.86317604
282,180.995475113
283,381.38332256
284,105.580693816
285,691.661279897
286,209.006679595
287,295.195001077
289,131.437190261
290,12.9282482224
291,314.587373411
292,101.271277742
293,40.9394527042
294,217.625511743
295,271.49321267
297,81.8789054083
298,168.067226891
299,103.425985779
300,418.01335919
301,116.354234001
302,234.86317604
303,163.757810817
304,56.0224089636
305,25.8564964447
306,189.614307261
307,96.9618616677
308,396.466278819
309,200.387847447
310,260.719672484
311,321.051497522
312,150.829562594
313,62.4865330748
314,180.995475113
315,15.0829562594
316,357.681534152
317,34.475328593
318,243.482008188
319,224.089635854
320,86.1883214824
321,165.912518854
322,267.183796596
323,38.7847446671
324,88.3430295195
325,148.674854557
326,303.813833226
327,204.697263521
328,32.3206205559
329,148.674854557
330,486.964016376
331,38.7847446671
332,56.0224089636
333,124.97306615
334,144.365438483
335,150.829562594
336,191.769015298
338,23.7017884077
339,168.067226891
340,170.221934928
341,422.322775264
342,34.475328593
343,99.1165697048
344,105.580693816
345,178.840767076
346,58.1771170006
347,88.3430295195
348,237.017884077
349,28.0112044818
351,96.9618616677
352,45.2488687783
353,23.7017884077
354,21.5470803706
355,230.553759966
356,99.1165697048
357,428.786899375
358,299.504417151
359,43.0941607412
360,116.354234001
361,159.448394743
362,137.901314372
363,211.161387632
365,374.919198449
366,331.825037707
367,109.89010989
368,129.282482224
369,47.4035768153
370,107.735401853
371,249.946132299
372,6.46412411118
373,66.7959491489
374,672.268907563
